f_timestamp,f_id,cluster_data,f_u_id
2023-03-24 21:00:12.067,4330,"[[2.7859998, 9.088698, 'cam_133']]",4
2023-03-24 21:00:12.067,8346,"[[5.5146413, 5.218163, 'cam_133']]",0
2023-03-24 21:00:12.148,3501,"[[2.4695833, 13.430322, 'cam_151'], [3.0749476, 13.474429, 'cam_151']]",0
2023-03-24 21:00:12.223,8791,"[[3.0752497, 13.471676, 'cam_151'], [2.4778795, 13.425949, 'cam_151']]",0
2023-03-24 21:00:12.283,7985,"[[3.0761492, 13.470593, 'cam_151'], [2.4854467, 13.423184, 'cam_151']]",0
2023-03-24 21:00:12.383,9755,"[[1.5913931, 16.462847, 'cam_149']]",0
2023-03-24 21:00:12.383,3270,"[[2.9564664, 13.075667, 'cam_149']]",0
2023-03-24 21:00:12.383,4415,"[[2.068085, 5.23275, 'cam_149']]",0
2023-03-24 21:00:12.456,5135,"[[7.6734405, 5.8403296, 'cam_133']]",0
2023-03-24 21:00:12.456,1125,"[[2.7933595, 9.084811, 'cam_133']]",0
2023-03-24 21:00:12.456,9245,"[[5.53693, 5.2347183, 'cam_133']]",0
2023-03-24 21:00:12.489,9200,"[[7.6711206, 5.887765, 'cam_133']]",0
2023-03-24 21:00:12.489,2801,"[[2.7973406, 9.091664, 'cam_133']]",4
2023-03-24 21:00:12.489,5262,"[[5.560261, 5.348744, 'cam_133']]",6
2023-03-24 21:00:12.609,7555,"[[10.337808, 17.58834, 'cam_145']]",0
2023-03-24 21:00:12.609,1854,"[[-7.264287, 14.898719, 'cam_145']]",0
2023-03-24 21:00:12.609,5422,"[[8.540035, 8.53671, 'cam_145']]",0
2023-03-24 21:00:12.674,2729,"[[3.006388, 13.495652, 'cam_151']]",0
2023-03-24 21:00:12.697,3494,"[[1.3626264, 11.0984955, 'cam_142'], [2.0125425, 10.325953, 'cam_142']]",0
2023-03-24 21:00:12.779,1085,"[[2.9162302, 13.124712, 'cam_149']]",0
2023-03-24 21:00:12.779,4661,"[[1.9476027, 5.2067094, 'cam_149']]",0
2023-03-24 21:00:12.779,6495,"[[1.5211701, 16.317598, 'cam_149']]",0
2023-03-24 21:00:12.857,1396,"[[5.571128, 5.307898, 'cam_133']]",0
2023-03-24 21:00:12.857,5539,"[[7.621671, 5.9370427, 'cam_133']]",0
2023-03-24 21:00:12.857,5051,"[[2.8097653, 9.054078, 'cam_133']]",4
2023-03-24 21:00:12.944,8242,"[[10.652339, 18.009592, 'cam_145']]",0
2023-03-24 21:00:12.944,9411,"[[-3.2208757, 12.1290865, 'cam_145']]",0
2023-03-24 21:00:12.944,2692,"[[8.622518, 8.442821, 'cam_145']]",0
2023-03-24 21:00:13.033,3367,"[[1.9995579, 5.3138766, 'cam_149']]",0
2023-03-24 21:00:13.033,1084,"[[1.3761197, 16.057564, 'cam_149']]",0
2023-03-24 21:00:13.033,6396,"[[2.9589174, 13.221873, 'cam_149']]",0
2023-03-24 21:00:13.133,7912,"[[2.029136, 10.333431, 'cam_142'], [1.3083484, 11.077722, 'cam_142']]",0
2023-03-24 21:00:13.212,6938,"[[2.9749143, 13.129817, 'cam_149']]",0
2023-03-24 21:00:13.212,4129,"[[1.4382526, 16.05916, 'cam_149']]",0
2023-03-24 21:00:13.212,1700,"[[2.0095234, 5.3131995, 'cam_149']]",0
2023-03-24 21:00:13.286,9572,"[[2.430004, 13.448409, 'cam_151'], [2.939149, 13.528144, 'cam_151']]",0
2023-03-24 21:00:13.369,6275,"[[10.75428, 18.149672, 'cam_145']]",0
2023-03-24 21:00:13.369,5158,"[[-2.510238, 11.698909, 'cam_145']]",0
2023-03-24 21:00:13.369,5460,"[[8.6698885, 8.360259, 'cam_145']]",0
2023-03-24 21:00:13.460,6349,"[[1.4332659, 16.009285, 'cam_149']]",0
2023-03-24 21:00:13.460,5774,"[[2.9558654, 13.116001, 'cam_149']]",0
2023-03-24 21:00:13.460,3738,"[[2.0304196, 5.3334827, 'cam_149']]",0
2023-03-24 21:00:13.532,2716,"[[2.0159197, 10.328631, 'cam_142'], [1.21884, 11.044064, 'cam_142']]",0
2023-03-24 21:00:13.559,5947,"[[1.1666955, 11.079871, 'cam_142'], [2.003839, 10.348562, 'cam_142']]",0
2023-03-24 21:00:13.636,9250,"[[7.476075, 6.3209724, 'cam_133']]",0
2023-03-24 21:00:13.636,3025,"[[2.8052707, 9.087351, 'cam_133']]",4
2023-03-24 21:00:13.636,3694,"[[5.5207496, 5.3443375, 'cam_133']]",0
2023-03-24 21:00:13.715,6532,"[[2.5152128, 13.417612, 'cam_151'], [2.9747272, 13.527285, 'cam_151']]",0
2023-03-24 21:00:13.788,3801,"[[1.9711417, 5.3245034, 'cam_149']]",0
2023-03-24 21:00:13.788,7831,"[[1.2243705, 15.983762, 'cam_149']]",0
2023-03-24 21:00:13.788,2464,"[[2.9174075, 13.021352, 'cam_149']]",0
2023-03-24 21:00:13.863,6474,"[[1.9737382, 5.3198667, 'cam_149']]",0
2023-03-24 21:00:13.863,2575,"[[1.2017794, 15.975336, 'cam_149']]",0
2023-03-24 21:00:13.863,7178,"[[2.89809, 13.021713, 'cam_149']]",0
2023-03-24 21:00:13.927,1177,"[[1.0941926, 11.131963, 'cam_142'], [1.9706956, 10.352412, 'cam_142']]",0
2023-03-24 21:00:14.118,8750,"[[-2.3491795, 10.3770685, 'cam_145']]",0
2023-03-24 21:00:14.118,6470,"[[8.40657, 8.475557, 'cam_145']]",0
2023-03-24 21:00:14.118,5324,"[[10.830216, 18.304182, 'cam_145']]",0
2023-03-24 21:00:14.210,8777,"[[1.3433592, 15.848286, 'cam_149']]",0
2023-03-24 21:00:14.210,8097,"[[2.84183, 12.950297, 'cam_149']]",0
2023-03-24 21:00:14.210,9636,"[[2.0137215, 5.3506913, 'cam_149']]",0
2023-03-24 21:00:14.299,4935,"[[5.493296, 5.439859, 'cam_133']]",0
2023-03-24 21:00:14.299,1990,"[[2.827781, 9.081548, 'cam_133']]",4
2023-03-24 21:00:14.299,7261,"[[7.4684787, 6.504119, 'cam_133']]",3
2023-03-24 21:00:14.397,5628,"[[0.9618534, 11.073947, 'cam_142'], [1.8115822, 10.463798, 'cam_142']]",0
2023-03-24 21:00:14.480,9463,"[[5.5108314, 5.4995875, 'cam_133']]",0
2023-03-24 21:00:14.480,1259,"[[7.4223557, 6.598415, 'cam_133']]",3
2023-03-24 21:00:14.480,1391,"[[2.8275833, 9.075409, 'cam_133']]",4
2023-03-24 21:00:14.556,2799,"[[10.727941, 18.079004, 'cam_145']]",0
2023-03-24 21:00:14.556,5277,"[[-2.0911453, 10.017037, 'cam_145']]",0
2023-03-24 21:00:14.556,3378,"[[8.561715, 8.530537, 'cam_145']]",0
2023-03-24 21:00:14.641,9471,"[[2.8452897, 12.884325, 'cam_149']]",0
2023-03-24 21:00:14.641,2278,"[[1.2931839, 15.539266, 'cam_149']]",0
2023-03-24 21:00:14.641,6914,"[[2.0939379, 5.857585, 'cam_149']]",0
2023-03-24 21:00:14.722,8156,"[[1.2970121, 15.51164, 'cam_149']]",0
2023-03-24 21:00:14.722,5207,"[[2.8196287, 12.873905, 'cam_149']]",0
2023-03-24 21:00:14.722,8772,"[[2.0845103, 5.8247724, 'cam_149']]",0
2023-03-24 21:00:14.788,9316,"[[16.79115, 6.5738735, 'cam_141']]",0
2023-03-24 21:00:14.788,2743,"[[13.2699995, 4.3343077, 'cam_141']]",4
2023-03-24 21:00:14.881,4816,"[[2.9065626, 9.059341, 'cam_133']]",0
2023-03-24 21:00:14.881,8703,"[[7.395782, 6.6456227, 'cam_133'], [5.6107674, 5.7564654, 'cam_133']]",0
2023-03-24 21:00:14.959,2982,"[[2.8657758, 13.583195, 'cam_151'], [2.4720685, 13.477636, 'cam_151']]",0
2023-03-24 21:00:15.045,2374,"[[2.7191155, 12.747532, 'cam_149']]",0
2023-03-24 21:00:15.045,2715,"[[2.032444, 5.844867, 'cam_149']]",0
2023-03-24 21:00:15.045,1353,"[[1.1673126, 15.3823185, 'cam_149']]",0
2023-03-24 21:00:15.199,5062,"[[13.3582115, 4.3571925, 'cam_141']]",4
2023-03-24 21:00:15.199,9355,"[[16.69545, 6.603837, 'cam_141']]",0
2023-03-24 21:00:15.290,2005,"[[7.245727, 6.8119316, 'cam_133'], [5.395017, 6.218476, 'cam_133']]",0
2023-03-24 21:00:15.290,6304,"[[2.9077268, 8.998248, 'cam_133']]",4
2023-03-24 21:00:15.357,1356,"[[-0.4306171, 9.007407, 'cam_145']]",0
2023-03-24 21:00:15.357,3044,"[[9.737009, 9.009468, 'cam_145']]",0
2023-03-24 21:00:15.429,4417,"[[2.0649583, 5.726657, 'cam_149']]",0
2023-03-24 21:00:15.429,1925,"[[1.1090593, 15.02265, 'cam_149']]",0
2023-03-24 21:00:15.429,5183,"[[2.501322, 12.493782, 'cam_149']]",0
2023-03-24 21:00:15.577,7880,"[[10.650736, 17.58774, 'cam_145']]",0
2023-03-24 21:00:15.577,3850,"[[-0.11509172, 8.941481, 'cam_145']]",0
2023-03-24 21:00:15.577,9654,"[[9.250062, 9.122824, 'cam_145']]",0
2023-03-24 21:00:15.665,6813,"[[2.0523634, 5.7252064, 'cam_149']]",0
2023-03-24 21:00:15.665,4118,"[[2.4434612, 12.286763, 'cam_149']]",0
2023-03-24 21:00:15.756,6109,"[[2.0887496, 5.716032, 'cam_149']]",0
2023-03-24 21:00:15.756,1218,"[[2.4760344, 12.116142, 'cam_149']]",0
2023-03-24 21:00:15.857,1303,"[[0.88612545, 8.721893, 'cam_145']]",0
2023-03-24 21:00:15.857,3689,"[[9.55089, 9.439585, 'cam_145']]",0
2023-03-24 21:00:16.061,1764,"[[2.8957036, 9.00049, 'cam_133']]",4
2023-03-24 21:00:16.061,7727,"[[5.228748, 6.518441, 'cam_133'], [7.0912395, 7.227239, 'cam_133']]",0
2023-03-24 21:00:16.155,5672,"[[1.240917, 8.513241, 'cam_145']]",0
2023-03-24 21:00:16.155,5532,"[[9.849123, 9.842616, 'cam_145']]",0
2023-03-24 21:00:16.305,4388,"[[16.01588, 6.658837, 'cam_141']]",0
2023-03-24 21:00:16.305,6332,"[[13.36941, 4.2849364, 'cam_141']]",4
2023-03-24 21:00:16.383,6950,"[[2.9192057, 8.944783, 'cam_133']]",0
2023-03-24 21:00:16.383,6109,"[[5.180943, 6.736829, 'cam_133']]",0
2023-03-24 21:00:16.383,7996,"[[7.115737, 7.5205684, 'cam_133']]",0
2023-03-24 21:00:16.428,9284,"[[7.097094, 7.522599, 'cam_133']]",0
2023-03-24 21:00:16.428,1060,"[[2.915658, 8.9500065, 'cam_133']]",4
2023-03-24 21:00:16.428,2155,"[[5.1718283, 6.7669473, 'cam_133']]",6
2023-03-24 21:00:16.610,7670,"[[2.6666086, 13.696428, 'cam_151'], [2.251759, 13.605105, 'cam_151']]",0
2023-03-24 21:00:16.706,2607,"[[15.829559, 6.5980473, 'cam_141']]",0
2023-03-24 21:00:16.706,4472,"[[13.362766, 4.363351, 'cam_141']]",0
2023-03-24 21:00:16.783,2540,"[[11.2225685, 18.56759, 'cam_145']]",0
2023-03-24 21:00:16.783,4190,"[[0.31033903, 7.591564, 'cam_145']]",0
2023-03-24 21:00:16.783,3106,"[[10.706567, 10.893298, 'cam_145']]",0
2023-03-24 21:00:16.863,4869,"[[2.130243, 5.784688, 'cam_149']]",0
2023-03-24 21:00:16.863,6224,"[[2.1540208, 11.365654, 'cam_149']]",0
2023-03-24 21:00:16.863,3647,"[[0.7051129, 13.954101, 'cam_149']]",0
2023-03-24 21:00:16.942,7385,"[[6.9629107, 7.710864, 'cam_133'], [5.2352557, 6.9225564, 'cam_133']]",3
2023-03-24 21:00:16.942,2304,"[[2.8983066, 8.993433, 'cam_133']]",0
2023-03-24 21:00:17.000,6491,"[[6.935669, 7.725257, 'cam_133'], [5.2401705, 6.9356694, 'cam_133']]",3
2023-03-24 21:00:17.000,5193,"[[2.8992853, 8.99317, 'cam_133']]",0
2023-03-24 21:00:17.087,5054,"[[15.556053, 6.750862, 'cam_141']]",0
